Sentence,Class
The assembly process for the cartridge components begins with a thorough cleaning and polishing of the case by a vibratory finisher,Relevant
The finisher works by vibrating a corn byproduct dried and ground corncobs with a polishing compound around the cases creating a high luster,Relevant
Thus prepared they are ready for final assembly,Irrelevant
This is how a typical center fire metal cartridge is assembled 1 The cases are fed into a loading press which first sizes the case,Relevant
This sizing Ammunitionforms the metal case to standard dimensions,Irrelevant
The case must be within 0 001 inch for it to function correctly,Irrelevant
The primer is then pressed into the case primer hole flush with the base,Relevant
The primer must be flush or the cartridge will not feed properly in the weapon magazine causing a jam,Irrelevant
At the same time the mouth of the case is slightly expanded in preparation for receiving the bullet 3 The case is charged or filled with the correct amount of propellant,Irrelevant
This step is of utmost importance for miscalculation or double charging could be disastrous,Irrelevant
The bullet is firmly seated into the open end of the case,Relevant
The bullet has a coating of lubricant to prevent corrosion and assist in the assembly process,Relevant
The bullet is then crimped into the case to give the correct overall length of the cartridge,Relevant
The crimp reduces the diameter of the open end of the case and captures the bullet tightly sealing the assembly together so moisture cannot invade the powder,Irrelevant
The press used to assemble cartridges must feed each component accurately and in the correct sequence,Irrelevant
Otherwise cases could be unprimed powder left out or bullets seated incorrectly,Irrelevant
Any of these could result in a misfire or loss of accuracy at the minimum and at worst cause the firearm to blow apart upon firing,Irrelevant
In each stage of the process special dies perform the important assembly function,Relevant
The dies are made of tooling carbide for long life and have close adjustments to produce quality ammunition,Irrelevant
After assembly the finished cartridges are packaged usually 50 to a box and prepared for shipment to the shooter,Relevant
The manufacturing process for antilock brake systems consists of manufacturing the component parts and then installing those parts on the vehicle,Irrelevant
The parts are built in one plant then packaged and shipped to a vehicle assembly plant for installation,Irrelevant
This is a typical process for an automobile antilock brake system,Irrelevant
The master cylinder including the base for the solenoid body is cast as a single unit,Irrelevant
The seating and sealing surfaces are machined smooth and the connection ports are threaded,Irrelevant
The individual primary and secondary pistons solenoid coils reservoir caps and seals pressure accumulator and any metering and proportioning valves are installed,Irrelevant
The solenoid body has a cover which attaches to the master cylinder with four or more screws and is sealed with a gasket,Irrelevant
The toothed wheel is cast from iron,Irrelevant
Minor machining may be required at the mounting points,Irrelevant
The pick up coils are wound around the permanent magnet core in a machine called a coil winder,Irrelevant
The entire assembly is encased or potted in plastic resin with an electrical connector attached,Irrelevant
The electronic controller components are soldered to a printed circuit board,Irrelevant
The board is connected inside a protective housing and mounted to the cast aluminum heat sink base,Irrelevant
Extemal electrical connections are provided for the input wiring from each speed sensor and the out put wiring to the solenoids in the master brake cylinder,Irrelevant
In the automobile assembly plant the steel tubing brake lines are installed in the framework of the body,Irrelevant
They run from the partition between the engine compartment and the occupant compartment called the firewall to the vicinity of each wheel,Irrelevant
The electrical wires for the ABS are also run from the vicinity of each wheel to the controller location and from the controller to the firewall,Irrelevant
The brake master cylinder is bolted to the firewall in the engine compartment near the brake pedal,Relevant
The brake lines are attached to the appropriate ports on the solenoid body and the electrical wires are connected,Relevant
The toothed sensor wheels are pressed onto the outer constant velocity joints or the ends of the axle spindles so that they ride just inside the wheels,Relevant
Once the axles are attached to the frame the brake lines are attached and the pick up coils are installed so that the end of the coils are close to the toothed wheels,Relevant
The pick up coils are then electrically connected to the wires to the controller,Irrelevant
The controller is installed either under the instrument panel or in the vehicle s trunk,Relevant
The electrical connections are made including the power connection from the vehicle battery through the fuse box,Relevant
The refining process starts by piping the crude petroleum from a storage tank into a heat exchanger or tube heater where its temperature is rapidly raised for initial distillation,Relevant
It then enters an atmospheric distillation tower where the lighter and more volatile components or fractions vaporize and are drawn off through a series of condensers and coolers,Relevant
It is then separated for further refining into gasoline considered a light distillate kerosene considered a medium distillate diesel oil considered a heavy distillate and many other useful petroleum products,Relevant
The heavy residue from this atmospheric distillation process is commonly called topped crude,Irrelevant
This topped crude may be used for fuel oil or further processed into other products such as asphalt,Irrelevant
Vacuum distillation may remove enough high boiling fractions to yield what is called a straight run asphalt,Irrelevant
However if the topped crude contains enough low volatile components which cannot be economically removed through distillation solvent extraction—also known as solvent deasphalting—may be required to produce asphalt cement of the desired consistency,Irrelevant
Asphalt may next be blended or cut back with a volatile substance resulting in a product that is soft and workable at a lower temperature than pure asphalt cement,Relevant
When the cut back asphalt is used for paving or construction the volatile element evaporates when exposed to air or heat leaving the hard asphalt cement,Relevant
The relative speed of evaporation or volatility of the cutting agent determines whether a cutback asphalt is classified as slow medium or rapid curing,Relevant
Heated asphalt cement is mixed with residual asphaltic oil from the earlier distillation process for a slow curing asphalt with kerosene for medium curing and with gasoline or naphtha for the rapid curing asphalt,Relevant
The asphalt cement may also be emulsified to produce a liquid that can be easily pumped through pipes mixed with aggregate or sprayed through nozzles,Relevant
To emulsify the asphalt cement is ground into globules 5 to 10 microns and smaller one micron is equal to one millionth of a meter ,Relevant
This is mixed with water,Relevant
An emulsifying agent is added which reduces the tendency of the asphalt and water to separate,Relevant
The emulsifying agent may be colloidal clay soluble or insoluble silicates soap or sulphonated vegetable oils,Relevant
Asphalt may also be pulverized to produce a powdered asphalt,Relevant
The asphalt is crushed and passed through a series of fine mesh sieves to ensure uniform size of the granules,Relevant
Powered asphalt can be mixed with road oil and aggregate for pavement construction,Relevant
The heat and pressure in the road slowly amalgamates the powder with the aggregate and binding oil and the Asphalt Cementsubstance hardens to a consistency similar to regular asphalt cement,Irrelevant
If the asphalt is to be used for a purpose other than paving such as roofing pipe coating or as an undersealant or water proofing material the asphalt may be oxidized or air blown,Irrelevant
This process produces a material that softens at a higher temperature than paving asphalts,Irrelevant
It may be air blown at the refinery at an asphalt processing plant or at a roofing material plant,Irrelevant
The asphalt is heated to 500 F 260 C ,Relevant
Then air is bubbled through it for one to 4 5 hours,Relevant
When cooled the asphalt remains liquid,Relevant
Prior to its use the latex may need to be colored,Irrelevant
This involves mixing a pigment into the latex,Relevant
It may be done at the balloon factory or the balloon maker may purchase already pigmented latex from a supplier,Irrelevant
The latex must be poured into tanks into which the forms will be dipped,Relevant
The tanks are kept at a certain temperature and may include stirring mechanisms to keep the latex circulating to avoid settling,Irrelevant
The balloon forms are first heated then immersed in a tank of coagulant solution for a few seconds,Relevant
When the forms are immersed in the liquid latex the coagulant will cause the rubber to gel in a thin sheet around the forms,Irrelevant
A commonly used coagulant solution is a mixture of water a calcium based salt soap and talc powder,Relevant
The salt is the actual coagulant the soap helps the latex spread in an even film and the talc helps ease the removal of the rubber from the forms in a later step,Irrelevant
The forms are heated to a temperature between 100 F 38 C and 200 F 93 C and then immersed in a tank of colored latex,Relevant
The coagulant causes the latex to coat the forms,Relevant
The longer the forms are left in the tank the thicker the coating that sticks to them,Relevant
For balloons a very thin layer of latex is desired so the forms are immersed only for a few seconds,Irrelevant
The forms must be inserted and removed at carefully controlled speeds to avoid trapping air bubbles and to achieve an even thin coating,Irrelevant
A lip is formed on the neck of the balloon by rolling the edges of the rubber using brushes or rollers,Relevant
This creates the ring seen around the opening of the balloon,Relevant
Next the forms are immersed in a tank of leaching solution often plain water to dissolve and leach away excess coagulant from the rubber,Relevant
The rubber on the forms must be dried and cured,Relevant
The method used varies among manufacturers,Irrelevant
Some balloon makers use a latex that already contains a vulcanizing agent in which case the rubber is dried at a moderate temperature,Irrelevant
Other makers induce vulcanization by putting the rubber coated forms into an oven and curing for as long as an hour,Irrelevant
The balloons are then mechanically removed from their forms,Relevant
One approach is to blow them off using a spray of water or air and collecting the balloons in a basket or net,Irrelevant
If the balloons are removed using a spray of water they are next placed in a centrifuge where excess water is removed by spinning the balloons around at high speed,Irrelevant
The balloons are then dried in large tumble dryers,Relevant
Next the balloons may either be packaged or first printed and then packaged,Relevant
If they are packaged directly they are moved on a conveyor belt past a counting device and placed into bags,Relevant
When an appropriate number of balloons has been placed in each bag the bags are sealed,Relevant
Printing designs on balloons such as logos or faces actually involves several steps,Irrelevant
First the balloons must be inflated in order to allow even printing,Relevant
This requires a worker to manually place each balloon on the inflating device,Relevant
Next a pattern is carefully printed on each balloon,Relevant
Finally the balloons are removed and passed on to the packaging stage,Relevant
Iron ore coke and limestone are heated in a blast furnace by hot pressurized air,Relevant
The coke produces heat to melt the iron ore and carbon monoxide which reacts with iron oxides in the ore to release iron ,Irrelevant
The limestone reacts with impurities in the iron ore such as sulfur to form slag which is removed,Irrelevant
The final product of the blast furnace is pig iron which contains at least 90% iron 3 5% carbon and various impurities,Irrelevant
To convert pig iron into steel the impurities and most of the carbon must be removed,Irrelevant
Iron without carbon is much weaker than steel but iron with too much carbon is brittle ,Irrelevant
Various methods exist to purify pig iron the most common of which is the basic oxygen steel BOS process,Irrelevant
In this method oxygen is blasted into molten pig iron under high pressure,Relevant
Carbon is released as carbon monoxide and the impurities are released as slag,Relevant
The remaining molten steel is poured into molds and allowed to cool into ingots weighing thousands of pounds each,Relevant
A billet is a bar of steel with a square cross section whose dimensions are usually less than about 6 inches 15 cm by 6 inches 15 cm ,Relevant
If the dimensions are larger the bar is known as a bloom if the cross section is rectangular rather than square the bar is known as a slab ,Irrelevant
A steel ingot is heated until it is about 2192 F 1200 C then rolled back and forth between grooved rolls until it has reached the proper size,Relevant
Giant shears cut the billet to the desired length then it is allowed to cool,Relevant
It is also possible to form billets directly from molten steel by pouring it through a water cooled copper mold to shape it then spraying it with water to solidify it,Irrelevant
To make barbed wire iron ore coke and limestone are heated in a blast furnace to produce pig iron,Irrelevant
The pig iron is purified and converted to steel,Relevant
The steel billet is again heated and rolled until it has been shaped into a round bar 0 2 inch 5 6 mm in diameter known as a wire rod,Relevant
The wire rod is rolled into a coil weighing as much as 3 969 pounds 1 800 kg which is shipped to the wire manufacturer,Relevant
Scale a surface coating of iron oxide which forms on steel when it is heated must be removed from the wire rod,Irrelevant
This can be done by soaking it in hot dilute acid sulfuric acid at 180 F [82 C] or hydrochloric acid at 140 F [60 C] and rinsing it with water a process known as pickling,Irrelevant
Scale can also be removed by bending the wire rod back and forth between a series of wheels to break it off or by blasting it off with fast moving particles of sand aluminum oxide or cast iron shot,Relevant
The clean wire rod is coated with lime borax or phosphate,Relevant
This coating prevents rusting neutralizes any remaining traces of acid and helps lubricants adhere to the wire rod when it is made into wire,Irrelevant
One end of the coated wire rod is shaped to a point,Irrelevant
This end is inserted like a thread going through the eye of a needle into a die consisting of a very hard central nib made of tungsten carbide surrounded by a steel holder,Irrelevant
The wire rod is lubricated with oil or soap and is pulled through the die to reduce its diameter,Relevant
This process is known as drawing,Irrelevant
A series of dies are used to reduce the wire rod from its Barbed Wireoriginal size to the desired size of the wire,Irrelevant
For barbed wire the diameter is typically 0 097 inch 2 5 mm ,Irrelevant
Usually about six or seven dies are needed to reach this size,Irrelevant
Drawing the wire causes it to become hard and stiff,Irrelevant
To make it pliable it is heated a process known as annealing,Irrelevant
Wire can be annealed by heating it in a bath of molten salt a bath of molten lead or in a furnace containing nitrogen,Irrelevant
All these methods prevent scale from forming by protecting the steel from oxygen,Irrelevant
Wire to be made into barbed wire is usually galvanized coated with zinc to protect it from corrosion,Irrelevant
The wire must be perfectly clean and dry to be properly galvanized,Irrelevant
First it is cleaned in a bath of hot dilute hydrochloric acid then rinsed with hot water,Relevant
It then passes through a solution of hot zinc chloride or ammonium chloride to prevent rust from forming as it is dried,Relevant
After drying the wire passes through a bath of molten zinc,Relevant
Excess zinc is wiped off and the coated wire is allowed to cool,Relevant
Some times the wire is coated with aluminum instead in a similar way ,Irrelevant
Wire can also be coated with zinc by a process known as electrogalvanizing,Irrelevant
The wire is given a negative electric charge and passed through a solution of zinc sulfate or some other zinc salt,Relevant
The positive zinc ions are attracted to the negative wire and form a coating,Relevant
A single automated machine performs all the steps needed to transform galvanized wire into barbed wire,Relevant
Two wires are fed into the machine and twisted together to form the cable,Relevant
Another wire is fed into the machine from the side and twisted around one or both of the cable wires,Relevant
This wire is cut at an angle on both sides to form a two point barb,Relevant
Two wires are twisted and cut together if four point barbs are needed,Relevant
The barbed wire is pulled along a set distance usually 4 or 5 inches [10 or 13 cm] and the process is repeated to space the barbs evenly,Relevant
The barbed wire is wound onto spools and cut into 1 319 foot 402 m lengths,Relevant
These spools are then loaded onto trucks and shipped to the customer,Relevant
A mill worker places each split onto an automatic lathe that shaves the rough edges off as it turns the wood,Irrelevant
The billets as they are now called are inspected again for straightness of grain,Irrelevant
The billets are stacked and strapped together into six sided bundles,Relevant
Workers paint the ends with a protective preservative to keep the wood from fraying or rotting,Relevant
The bundled billets are then trucked to the lumberyard of the bat manufacturer,Relevant
The billets that arrive at the lumberyard are considered green wood because they still contain sap and gum,Relevant
In order to strengthen the wood the sap and gum must be removed by an air drying process called seasoning,Irrelevant
To achieve the proper seasoning the billets are simply stacked in the yard for a period of six months to two years,Relevant
The plant workers who create the final product are called bat turners,Irrelevant
When an order is placed the bat turner selects a billet from the storage bin and creates a replica of the desired model,Relevant
When the billets have dried completely they are weighed and inspected for quality,Relevant
A worker places each billet on an automatic lathe and shapes it into a rough baseball bat shape with a narrowed neck,Irrelevant
The bat forms are sanded inspected once more and then sorted according to weight,Relevant
The bat manufacturer keeps a model of each bat made typically identified by the baseball player who initially ordered it,Irrelevant
When a player or team places an order the order may look like this six Johnny Bench models ten Hank Aarons four Mickey Mantles,Irrelevant
They are highly skilled artisans who have been specially trained for the intricate work,Irrelevant
When an order is placed the bat turner selects a billet from the storage bin that fits the called for weight and length,Relevant
The billet is placed on a lathe,Relevant
The model bat is placed on a rack above and behind the lathe,Relevant
The bat turner revolves the billet slowly on the lathe sanding and shaving it to an exact replica of the model,Relevant
Using calipers the bat turner measures the billet every 1 2 inches 2 54 5 cm and weighs it repeatedly until it is perfect,Relevant
The bat is branded with the company trademark and the signature of the player associated with the model,Relevant
The trademark is placed one quarter of a turn from the sweet spot the ideal spot where the ball should strike the bat ,Relevant
If the order calls for staining the bat is dipped into a staining vat,Irrelevant
All of the bats are then varnished packed into cartons and shipped to the player or team,Relevant
The metal is either cast into molds gray cast iron or drawn into sheet and formed steel ,Relevant
Before enameling it must then be cleaned,Relevant
Cleaning of castings is carried out by blasting the surface with chilled iron grit sometimes after preliminary annealing heating at 1350 1500 F [730 820 C] ,Relevant
The grit or shot is projected through nozzles using compressed air or flung against the surface by centrifugal force using a special machine,Irrelevant
A combination of both methods may be used,Irrelevant
This blasting removes any dirt or sand particles from the mold from the metal surface,Irrelevant
Sheet metal must undergo a more complex cleaning process,Irrelevant
First the surface is cleaned by shot blasting after annealing to release stresses and to remove any grease deposits,Relevant
Degreasing is done with chemical cleaners first with an organic solvent followed by a hot alkaline solution,Relevant
The organic solvent removes most of the grease and oil from the metal surface,Relevant
The alkaline solution removes the remaining film of oil and leaves a surface ready for acid pickling,Relevant
Acid pickling uses hydrochloric or sulfuric acid or a combination of these acids,Relevant
This process de scales the surface which helps to form a strong bond between the iron and ground coat enamel,Irrelevant
Pickling is followed by rinsing in running water,Relevant
The next step is sometimes a nickel dip which uses a solution of nickel sulfate and boric acid to coat the metal with a layer of nickel,Relevant
This layer also helps to form a good bond with the enamel,Relevant
The nickel dip is followed by a thorough rinsing of the ware and another dip in a neutralizer solution,Relevant
This solution consists of soda ash and borax in water and removes any traces of acid as well as prevents rust,Irrelevant
After neutralizing the metal is dried as quickly as possible to prevent rusting,Relevant
After the raw materials are carefully weighed and mixed together in precise amounts the enamel frit is prepared by melting the batch in furnaces of rotary or continuous type fueled by oil or gas,Relevant
When melting is completed the molten enamel is run out of the furnace in a thin stream into a tank of cold water which produces small fragments,Relevant
For continuous furnaces the molten frit is run between water cooled rolls which chills the frit,Relevant
The frit is then dried and stored in bags,Relevant
Before the enamel is applied it must be ground into a powder using a ball mill with blocks of enamel as the grinding media,Relevant
If applied wet the enamel is milled with additions of clay and water to make a slip or slurry,Irrelevant
Dry enamel is dusted on the metal surface which has been previously heated to a temperature above the melting point of the enamel,Relevant
The powder melts on contact with the hot article forming a continuous coating,Relevant
Firing in a furnace produces a smooth porcelain like surface,Relevant
Wet enamel is applied by a dipping process using a large open tank,Relevant
After dipping the coated part is allowed to drain producing a thin uniform coating,Relevant
The dipping tank uses a recalculating system to recycle the enamel,Irrelevant
The wet enamel may also be applied using automatic spraying equipment,Relevant
After enameling the coated parts are dried using cabinet or conveyor dryers heated by gas burners steam or waste heat from the enameling furnaces or infrared lamps,Relevant
Firing takes place in furnaces heated by metallic heating elements,Irrelevant
Two coatings of enamel are normally applied a ground coat followed by a cover coat,Relevant
The cover coat takes longer to fire,Relevant
A number of processes are used to form plastics into shapes including calendaring squeezing between rollers to form films casting compression molding and injection molding melting and forcing into a cooled mold ,Irrelevant
In injection molding a reciprocating screw machine is generally used which melts the plastic pressurizes the melt to inject it into a closed mold closes the mold so the plastic can solidify and opens the mold to allow removal of the part,Relevant
Injection occurs as the screw is hydraulically forced forward in the barrel,Relevant
During the cooling and solidification period the screw begins to rotate and melt new material for the next part,Relevant
Compression molding is used to make both plastic and fiber reinforced bathtubs,Relevant
For reinforced bathtubs a mixture of fibers polyester resin and pigments fillers and other additives are mixed together and formed into a sheet,Relevant
In this process a specified amount of resin filler paste is placed onto a plastic carrier film using a special machine,Relevant
The carrier film is passed under a chopper which cuts glass roving into short lengths,Relevant
After the glass falls to the resin bed another carrier film with another layer of paste is added on top sandwiching the glass between the two layers,Relevant
This sandwich structure is passed through a series of compaction rollers to thoroughly mix the fibers and resin,Relevant
After the material—called a sheet molding compound—thickens the carrier film is removed and the sheet material is cut into charges which are placed in matched metal die molds made of machined steel,Relevant
High pressure is applied which heats the material so that it flows to all areas of the mold,Relevant
Heat from the mold activates the catalyst which achieves curing,Relevant
Once cured the part is then removed from the mold,Relevant
Two processes called hand lay up and spray lay up are used to make fiberglass bathtubs,Irrelevant
Hand lay up is a method in which successive plies of reinforcing material or resin impregnated reinforcement are positioned in a mold by hand,Irrelevant
Cure occurs at room temperature with no applied pressure,Irrelevant
Special tools are used to work out air bubbles and ensure complete wetting of the fiber if the polymer is added separately,Irrelevant
The spray lay up process is faster than hand lay up and involves feeding a stream of chopped fibers into a spray of liquid plastic in a mold cavity,Irrelevant
The direction of the fibers is random and the process is usually automated,Irrelevant
After lay up is completed the plastic must solidify or cure in a reasonable time at room temperature which occurs via chemical reactions,Relevant
A group or array of one or more receiver or decoder printed circuit boards is run through a machine called a solder printer,Relevant
Printed circuit boards PCB are thin stiff pieces of electrically non conducting material onto which a pattern of electrically conducting material has been bonded to form numerous circuit paths much like flat wires,Irrelevant
Electronic components are attached to both sides of the board and interconnected by the printed circuitry,Relevant
The solder printer is programmed to apply a small amount of solder paste to the points where the components will make electrical contact with the printed circuits,Relevant
The PCBs are then processed through another machine known as a high speed chip shooter,Relevant
The shooter quickly and accurately places or shoots the majority of the pager s small components onto each board,Relevant
After a visual inspection the PCBs are run through a series of robotic placement machines which place the larger and odd shaped parts onto the boards,Relevant
These include the integrated circuit IC chips oscillators and crystal filters,Irrelevant
Once all these parts have been placed the boards are run through a reflow oven,Relevant
In this oven the solder paste melts or reflows to form an electrical connection between the components and the printed circuits,Relevant
The board arrays are then given a final visual inspection for defects and are sent through the singulation process in which the individual boards are cut from the array and labeled,Relevant
Some pagers require parts which must be placed by hand in a process called post reflow assembly,Irrelevant
These parts are generally too large for robotic placement or too sensitive to the extreme heat of the reflow oven,Irrelevant
The liquid crystal display LCD is attached to the decoder board and the decoder board with the LCD is placed Beeperinto the plastic outer housing,Relevant
The housing also contains the on off switch belt fastener clip and battery compartment with electrical contacts,Irrelevant
At this point the pagers have none of their specific features,Irrelevant
They have not been assigned a radio frequency nor have they been programmed with a unique telephone number or any customer options,Irrelevant
All of that will happen in the back end process,Irrelevant
First a crystal is soldered to the receiver board,Relevant
A crystal is an electronic component which can be activated only by a specific radio frequency,Irrelevant
The crystal is selected to match the radio frequency assigned to the pager,Irrelevant
The receiver board is then connected to the decoder board inside the pager housing and the housing is sent through a laser which is programmed to etch the pager identification number and other data onto the back cover of the housing,Relevant
The pager is sent to the programming station where it is automatically programmed with a unique identification number and a large spectrum of options selected by the customer,Relevant
The After programming the pager crystal and filter frequencies are tuned at a manual tuning station,Relevant
This ensures the pager will receive the exact radio frequency assigned to it and prevents reception of messages intended for other pagers on other frequencies,Relevant
Sometimes this process is done automatically,Irrelevant
In the final assembly station the back I cover is secured onto the decoder board a battery is inserted and the pager is turned on,Relevant
After passing a radio frequency test and a final visual inspection the pager is packed and sent to the customer,Relevant
Fully ripened barley grains are steeped or soaked in cold water until they are fully saturated,Relevant
The water is changed once a day and after 45 72 hours the grains are placed in shallow tanks,Relevant
The grain is aerated and stirred which causes it to germinate releasing enzymes such as malt diastase,Relevant
Malt diastase converts the starches contained in the grain to sugar for fermentation,Relevant
As soon as the germination is adequately complete usually six days the grain is roasted to stop the germination process,Relevant
The exact point at which the roasting starts and ends affects the flavor and color of the beer,Relevant
The product at this point is referred to as malt,Relevant
The automatic canning machinery dwarfs the workers in this 1970s brewery canning room,Irrelevant
From the collections of Henry Ford Museum   Greenfield Village ,Irrelevant
The automatic canning machinery dwarfs the workers in this 1970s brewery canning room,Irrelevant
The malt is crushed using iron rollers and transferred to the mash tank or tun ,Irrelevant
This tank is a large copper or stainless steel vessel that mixes the malt with warm water until it is of porridge like consistency,Irrelevant
This mixture is called mash,Irrelevant
After mixing with similarly prepared cereal grains the temperature of the mash is raised incrementally from 100 170 F 38 77 C so that the enzymes react,Relevant
The enzymes break down the starch in the grain and convert it to simple sugars,Relevant
Later the yeast will convert the sugars into alcohol,Relevant
Once complete the mash is allowed to sit undisturbed so the solids can descend to the bottom of the tank,Relevant
Beer requires these ingredients for proper brewing prepared cereal grain usually barley and corn or rice hops pure water and brewer s yeast,Irrelevant
Each ingredient can affect flavor color carbonation alcohol content and other subtle changes in the beer,Irrelevant
The liquid contained in the mash is transferred into another tank called a lauter tun,Relevant
This is accomplished by drawing the liquid out through the bottom layer of mash solids which acts as a filter,Relevant
Hot water is added to the top of the mash tank to rinse the remaining liquid now called wort from the mash,Relevant
The solid remains of the grain are dried and sold by the brewery as animal feed,Relevant
The wort travels on to the brew kettles where it is boiled to sterilize it and where the carefully prepared hops are added,Relevant
The addition of the hops is important because they contribute to the bitterness of the beer,Irrelevant
The brew kettles are the most impressive equipment in the process,Irrelevant
Gleaming copper they can be 7 12 feet 2 3 6 m in diameter and two stories high,Irrelevant
Steam usually provides the heating energy to the brew kettles,Irrelevant
After brewing is complete the finished wort is filtered again and pumped to the fermentation tanks,Relevant
In the fermentation tanks the atmosphere must be carefully controlled to prevent any rouge bacteria from interfering with the yeast,Irrelevant
Carefully maintained yeast approximately one pound per barrel of wort is added to the wort and the temperature of the mixture is slowly reduced over a period of days to between 50 F and 60 F 10 15 C ,Irrelevant
In this temperature range the yeast grows consuming the sugar in the wort and bubbles of carbon dioxide form,Irrelevant
The wort has now become beer,Irrelevant
The new beer is filtered and transferred once more into the aging casks where the temperature is controlled at 33 F C for 2 24 weeks,Relevant
The shorter storage time produces a pale lager beer while the European lagers called BeerPilsner are aged longer to increase the alcohol content,Irrelevant
After aging the beer can be pasteurized to kill the remaining yeast and prevent further alcohol production,Relevant
This is accomplished by heating the beer above 135 F 57 C ,Relevant
This process named after Louis Pasteur is widely known for preserving milk,Irrelevant
Interestingly Pasteur originally developed this process to preserve beer in the 1860s,Irrelevant
Pasteurization however is not used in the production of genuine draft beers,Irrelevant
These beers are also known as ice beers since they must be kept refrigerated to preserve their flavor and slow the remaining yeast activity,Irrelevant
Many consider the draft beers best in aroma as well as taste,Irrelevant
Whether packaged into cans bottles or kegs the beer is always moved gently through the maze of piping in the bottling area,Irrelevant
This is to preserve the natural carbonation,Irrelevant
During bottling additional carbon dioxide gas from the fermentation kettles is used to improve the aroma of the beer,Relevant
High speed packaging lines can process thousands of cases of beer per day and with modern computerized control the inventory can be tracked throughout the distribution network,Irrelevant
Most beer is delivered from local distributors who have purchasing contracts with the major breweries,Irrelevant
Most beer is available in the following package sizes pony cans and bottles of about 8 fluid ounces standard 12 ounce cans and bottles 16 and 32 ounce jumbo cans 40 ounce picnic bottles 8 gallon pony kegs and the standard 16 gallon beer keg,Irrelevant
Other novelty and party packages are also available,Irrelevant
Cans and bottles are packed in 6 8 12 or 24 each to a box or case,Relevant
Most states require a deposit at point of sale to encourage the return of the bottles and cans,Relevant
When beer is dispensed from the keg a pressure apparatus called a tapper is used to apply a light pressure of carbon dioxide usually 2 6 PSI to the tapper head for dispensing,Relevant
The craft of casting bells has remained essentially the same since the 12th century,Irrelevant
BellThe one singular innovation was the invention of the tuning machine in the 19th century,Irrelevant
Prior to that time the proper tone was achieved by chipping the sides of the bell with a hammer and chisel,Irrelevant
This procedure carried a high risk of damaging the bell,Irrelevant
The tuning machine which is essentially a vertical lathe has reduced that risk,Irrelevant
Electronic tuning machines have increased the bell founder s ability to test the accuracy of the bell s tone,Irrelevant
All in all however creating a bell is still very much a hands on process,Irrelevant
Using the specifications submitted by the purchaser the bellmaker determines the shape that the bell will need to take in order to resonate with the proper number of vibrations,Irrelevant
After estimating the required weight the bellmaker orders the metal,Relevant
These are painstaking measurements that can take several weeks of calculations to accomplish,Irrelevant
The bellmaker cuts out two wooden templates called strickle boards,Relevant
One of the boards matches the dimensions of the outer bell called the case or cope the other matches that of the inner bell called the core ,Relevant
These templates are used to construct the mold,Relevant
An exact stone model of the outer bell sometimes called a false bell is covered first with sand or loam then with molten wax,Irrelevant
Figures and inscriptions also made of wax are applied by hand,Relevant
The false bell is Bellpainted over with three coats of very fine fireproof clay,Irrelevant
It is then enclosed in a steel mantle that has been lowered by rope pulleys,Relevant
The space between the false bell and the mantle is filled with cement,Relevant
After the cement has hardened the mantle is lifted off the cement mold,Relevant
The false bell under the mold is chipped away,Relevant
Any remaining scraps of the false bell are removed with a blow torch,Relevant
The mold is then set over a coke fire to melt the remaining wax and to evaporate any water that has accumulated,Relevant
A model of the inner bell is constructed of stone and coated with fireproof cement,Relevant
It is then smoothed to remove any irregularities,Relevant
After the mantle has been cleaned it is again lowered over the outer bell model,Relevant
The mantle and the outer bell mold are then lowered over the inner mold,Relevant
The outer and inner sections are clamped together leaving a space between them and set into a pit,Relevant
Ingots of bronze are melted in oil burners and heated to a temperature of approximately 1150 F 1100 C ,Relevant
The molten metal is skimmed to remove impurities and then poured into drums,Relevant
The drums are carried to the pit and carefully tipped so that the hot metal flows into the space between the two molds,Relevant
Holes in the top of the mantle allow gases to escape,Irrelevant
If the gases remained in the metal the bell would be too porous and easily cracked,Irrelevant
The bell is allowed to cool for several days,Relevant
Large bells can take as much as a week to cool completely,Irrelevant
Small bells usually classified as those under 500 pounds 227 kg can be removed from the molding pit the next day,Irrelevant
The bell is cast with slightly thicker sides so that the bell can be ground as it twirls slowly upside down on a circular lathe to acquire the precise tone,Relevant
The bell tuner is highly skilled it takes years of experience to know just how much metal to remove,Relevant
The bell tone is tested frequently during the tuning process using an electronic device that registers the vibrations as the bell is struck,Relevant
If the tone is too low the lathe operator grinds more metal off the lower edge of the bell,Relevant
If the tone is too high the bell is thinned with a file,Relevant
The clapper is manufactured in much the same manner as the bell itself,Relevant
Special care is given to cast the clapper at the proper weight,Relevant
A clapper that is too light weight will not bring out the true tones of the bell,Irrelevant
A heavy clapper might cause the bell to crack,Irrelevant
Holes are drilled into the top of the bell,Relevant
Using mounting bolts and supports the clapper is fastened to the bell,Relevant
Seamless frame tubes are constructed from solid blocks of steel that are pierced and drawn into tubes through several stages,Relevant
These are usually superior to seamed tubes which are made by drawing flat steel strip stock wrapping it into a tube and welding it together along the length of the tube,Irrelevant
Seamless tubes may then be further manipulated to increase their strength and decrease their weight by butting or altering the thickness of the tube walls,Irrelevant
Butting involves increasing the thickness of the walls at the joints or ends of the tube where the most stress is delivered and thinning the walls at the center of the tube where there is relatively little stress,Relevant
Butted tubing also improves the resiliency of the frame,Irrelevant
